Date,Time,T02,T04,T06,T08,T09,T12,T13,T14,T17,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T33,T35,T36,T37,T39,T40,T41,T42,T43,T44,T46,T47,T48,T49,T51,T52,T53,T55,T56,T57,T58,T59,T60
2021-08-09,0:00:00,2.062,4.06,3.017,3.945,2.604,2.578,4.081,3.543,2.585,2.058,3.609,4.54,4.558,3.536,3.05,2.537,2.075,3.614,3.067,2.074,4.117,3.536,3.554,2.049,3.067,2.622,4.008,3.559,3.096,3.114,4.096,3.559,5.049,1.505,2.547,3.555,2.058,4.081,3.578,3.609,3.034,2.58,3.577,3.048,4.062
2021-08-09,4:00:00,2.062,3.559,3.017,2.944,2.101,2.578,3.578,3.042,2.084,2.058,2.604,3.536,4.056,3.034,3.05,2.537,2.075,3.112,3.067,2.074,3.615,3.034,3.052,2.049,3.067,2.622,4.008,3.559,3.096,2.612,3.089,3.058,4.046,1.505,2.045,3.053,2.058,3.578,3.076,3.106,2.532,2.58,3.075,2.041,3.561
2021-08-09,8:00:00,2.062,4.06,2.515,3.444,3.609,2.075,3.578,3.543,3.086,2.058,3.106,4.038,3.554,4.038,3.05,2.537,2.075,3.112,3.067,2.074,3.615,2.532,3.554,2.049,3.067,2.12,3.506,3.559,3.096,4.621,3.089,3.058,4.046,1.505,4.054,3.555,1.555,3.578,3.578,3.609,2.532,2.58,4.079,3.551,3.059
2021-08-09,12:00:00,2.062,7.065,2.515,7.448,7.127,2.075,5.587,6.551,7.095,1.555,5.62,6.547,3.554,7.551,2.547,2.537,1.573,3.112,3.067,2.074,6.126,3.034,6.567,2.049,3.067,2.12,3.506,3.058,2.594,10.643,4.599,3.058,7.055,1.505,10.58,8.072,1.555,3.076,6.09,6.122,2.532,2.078,8.595,7.575,3.059
2021-08-09,16:00:00,2.062,9.068,2.515,7.948,9.136,2.075,6.592,8.555,8.597,1.555,9.638,8.053,4.056,9.056,2.547,2.034,1.573,3.112,3.067,2.074,7.632,3.536,7.57,2.049,2.565,2.12,3.506,3.058,2.594,9.138,6.611,3.058,9.06,1.505,11.082,9.076,1.555,4.081,8.098,9.136,2.532,2.078,10.1,9.585,3.561
2021-08-09,20:00:00,2.062,7.566,2.515,5.947,7.127,2.578,5.085,6.551,6.093,1.555,7.127,7.049,5.061,6.547,2.547,2.034,2.075,3.112,2.565,2.074,6.628,4.038,5.563,2.049,2.565,2.12,3.506,3.058,3.096,6.629,6.108,3.058,8.058,1.505,6.565,6.065,2.058,4.583,6.592,7.127,2.532,2.078,7.09,6.067,4.062
2021-08-10,0:00:00,2.062,4.06,3.017,3.444,2.604,2.578,3.578,3.543,2.084,2.058,2.604,4.54,4.558,3.034,3.05,2.034,2.075,3.614,2.565,2.074,4.117,3.536,3.052,2.049,2.565,2.622,4.008,3.058,3.096,2.612,3.592,3.058,5.049,1.505,2.045,3.053,2.058,4.081,3.578,3.609,2.532,2.078,3.075,2.041,4.062
2021-08-10,4:00:00,2.062,3.559,3.017,2.944,2.101,2.578,3.076,2.541,1.583,2.058,2.604,3.536,4.056,2.532,3.05,2.034,2.075,3.112,3.067,2.074,3.615,3.034,2.55,2.049,3.067,2.622,4.008,3.559,3.096,2.11,3.089,3.058,4.046,1.505,1.542,2.551,2.058,3.578,3.076,3.106,2.532,2.078,2.572,2.041,3.561
2021-08-10,8:00:00,2.062,4.06,2.515,3.945,4.112,2.075,4.081,4.045,4.089,2.058,3.609,4.038,3.554,4.038,2.547,2.034,1.573,3.112,2.565,2.074,4.117,2.532,3.554,2.049,3.067,2.12,3.506,3.058,3.096,5.123,3.089,3.058,4.046,1.505,5.059,4.559,1.555,3.578,4.081,4.112,2.532,2.078,4.581,3.551,3.059
2021-08-10,12:00:00,2.062,6.565,2.515,7.448,7.629,2.075,5.587,6.551,7.095,1.555,5.62,6.547,3.554,7.551,2.547,2.034,1.573,3.112,2.565,2.074,6.628,3.034,6.567,2.049,2.565,2.12,3.506,3.058,2.594,9.64,4.599,3.058,6.554,1.505,10.079,7.069,1.555,3.076,6.592,7.127,2.532,2.078,7.592,6.569,3.059
2021-08-10,16:00:00,2.062,6.064,2.515,5.947,4.112,2.075,5.085,5.047,4.59,1.555,5.62,5.544,4.056,6.547,2.547,2.034,1.573,3.112,2.565,2.074,5.122,3.034,5.061,2.049,2.565,2.12,3.506,3.058,2.594,6.629,4.599,3.058,6.052,1.505,6.063,5.563,1.555,3.578,4.583,5.117,2.532,2.078,5.585,5.061,3.561
2021-08-10,20:00:00,2.062,6.064,2.515,5.947,5.117,2.075,4.583,5.047,4.59,1.555,5.117,5.042,4.056,5.544,2.547,2.034,1.573,3.112,2.565,2.074,5.122,3.536,4.558,2.049,2.565,2.12,3.506,3.058,2.594,5.123,4.599,3.058,6.052,1.505,4.557,5.061,1.555,4.081,5.085,4.615,2.532,2.078,5.083,4.558,3.561
2021-08-11,0:00:00,2.062,3.559,2.515,2.944,2.101,2.075,3.076,2.541,2.084,1.555,2.604,4.038,4.056,2.532,2.547,2.034,1.573,3.112,2.565,2.074,3.615,3.034,2.55,2.049,2.565,2.12,3.506,3.058,3.096,2.11,3.089,3.058,4.046,1.505,1.542,2.551,1.555,3.578,3.076,3.106,2.532,2.078,2.572,2.041,3.561
2021-08-11,4:00:00,2.062,3.058,2.515,2.443,1.598,2.075,3.076,2.541,1.583,1.555,2.101,3.536,3.554,2.029,2.547,2.034,1.573,3.112,2.565,2.074,3.112,2.532,2.047,2.049,2.565,2.12,3.506,3.058,2.594,2.11,2.586,3.058,3.545,1.505,1.039,2.049,1.555,3.578,2.573,2.604,2.532,2.078,2.07,1.538,3.059
